Date,Open,High,Low,Close,Volume,Adj Close
2015-11-25,89.410004,89.639999,88.970001,89.449997,000,89.449997
2015-11-24,88.309998,89.489998,88.129997,89.330002,000,89.330002
2015-11-23,88.410004,89.379997,88.400002,88.860001,000,88.860001
2015-11-20,88.150002,88.809998,88.00,88.480003,000,88.480003
2015-11-19,88.129997,88.25,87.339996,87.860001,000,87.860001
2015-11-18,87.080002,88.260002,86.50,88.230003,000,88.230003
2015-11-17,87.029999,88.010002,86.510002,86.949997,000,86.949997
2015-11-16,85.339996,86.730003,84.940002,86.730003,000,86.730003
2015-11-13,86.209999,86.790001,85.339996,85.610001,000,85.610001
2015-11-12,88.209999,88.230003,86.699997,86.730003,000,86.730003
2015-11-11,89.940002,90.099998,88.57,88.769997,000,88.769997
2015-11-10,89.269997,89.830002,88.639999,89.510002,000,89.510002
2015-09-04,78.470001,79.120003,78.260002,78.82,000,78.82
2015-08-21,81.18,82.360001,80.959999,81.370003,000,81.370003
2015-08-20,83.940002,83.940002,82.230003,82.230003,000,82.230003
2015-08-14,84.610001,85.849998,84.580002,85.849998,000,85.849998
2015-08-10,86.550003,87.419998,86.550003,87.419998,000,87.419998
2015-07-22,87.879997,89.400002,87.879997,89.050003,000,89.050003
2015-07-21,78.970001,87.980003,78.209999,87.980003,000,87.980003
2015-07-20,88.150002,88.709999,87.82,88.639999,000,88.639999
2015-07-17,88.800003,88.800003,87.330002,87.949997,000,87.949997
2015-07-16,89.389999,89.550003,88.779999,88.879997,000,88.879997
2015-07-15,88.389999,89.029999,88.279999,88.730003,000,88.730003
2015-07-14,87.730003,88.379997,87.489998,88.300003,000,88.300003
2015-07-13,87.839996,88.309998,87.720001,88.089996,000,88.089996
2015-07-10,87.370003,87.580002,86.910004,87.389999,000,87.389999
2015-07-09,86.309998,86.629997,85.800003,86.309998,000,86.309998
2015-07-07,86.940002,86.970001,84.760002,85.769997,000,85.769997
2015-07-06,86.25,87.110001,85.980003,87.07,000,87.07
2015-07-01,88.599998,89.00,88.00,88.639999,000,88.639999
2015-06-30,87.910004,88.57,87.110001,87.50,000,87.50
2015-06-29,88.57,88.889999,87.099998,87.129997,000,87.129997
2015-06-26,89.220001,89.610001,89.010002,89.349998,000,89.349998
2015-06-25,89.00,89.43,88.400002,88.889999,000,88.889999
2015-06-24,88.949997,89.309998,88.57,88.620003,000,88.620003
2015-06-23,88.550003,89.199997,88.529999,89.18,000,89.18
2015-06-19,87.129997,87.330002,86.879997,87.129997,000,87.129997
2015-06-18,86.82,87.330002,86.029999,87.150002,000,87.150002
2015-06-17,88.400002,88.449997,86.339996,86.519997,000,86.519997
